MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1096342,Rhoa,ras homolog family member A,9,,mitotic cleavage furrow formation,,,ISO,P61586 ,J:164563 
MGI:1096342,Rhoa,ras homolog family member A,9,,mitotic spindle assembly,,,ISO,P61586 ,J:164563 
MGI:107949,Rhob,ras homolog family member B,12,,mitotic cytokinesis,,,ISO,P62745 ,J:164563 
MGI:106028,Rhoc,ras homolog family member C,3,,mitotic cytokinesis,,,IBA,PTN008393485 ,J:265628 
MGI:106028,Rhoc,ras homolog family member C,3,,mitotic cytokinesis,,,ISO,P08134 ,J:164563 
MGI:1916831,Rhou,ras homolog family member U,8,,G1/S transition of mitotic cell cycle,,,IDA,,J:70543 
MGI:1916233,Rint1,RAD50 interactor 1,5,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q6NUQ1 ,J:164563 
MGI:1914295,Riok2,RIO kinase 2,17,,regulation of mitotic metaphase/anaphase transition,,,ISO,Q9BVS4 ,J:164563 
MGI:2444879,Ripor2,RHO family interacting cell polarization regulator 2,13,,regulation of mitotic spindle assembly,,,ISO,Q9Y4F9 ,J:164563 
MGI:1914403,Rnaseh2b,"ribonuclease H2, subunit B",14,,regulation of G2/M transition of mitotic cell cycle,regulates G2/M transition of mitotic cell cycle,,IMP,MGI:4432164 ,J:186986 
MGI:1101759,Rnf2,ring finger protein 2,1,,mitotic cell cycle,,,IMP,MGI:2653961 ,J:82399 
MGI:107927,Rock1,Rho-associated coiled-coil containing protein kinase 1,18,,mitotic cytokinesis,,,IBA,PTN000542090 ,J:265628 
MGI:107926,Rock2,Rho-associated coiled-coil containing protein kinase 2,12,,mitotic cytokinesis,,,IBA,PTN000542090 ,J:265628 
MGI:1339939,Rpa2,replication protein A2,4,,mitotic G1 DNA damage checkpoint signaling,,,ISO,P15927 ,J:164563 
MGI:1915490,Rpa3,replication protein A3,6,,regulation of mitotic cell cycle,,,IMP,,J:171348 
MGI:2448270,Rpl17,ribosomal protein L17,18,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:1303019 ,J:155856 
MGI:1915443,Rpl24,ribosomal protein L24,16,,exit from mitosis,,,IMP,MGI:1856685 ,J:53381 
MGI:1915443,Rpl24,ribosomal protein L24,16,,mitotic cell cycle checkpoint signaling,,,IMP,MGI:1856685 ,J:92052 
MGI:106022,Rpl26,ribosomal protein L26,11,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",,,IDA,,J:240282 
MGI:106022,Rpl26,ribosomal protein L26,11,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",,,ISO,P61254 ,J:164563 
MGI:1915124,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",2,,regulation of mitotic cell cycle,,,IBA,PTN002009218 ,J:265628 
MGI:1915124,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",2,,regulation of mitotic cell cycle,,,IDA,,J:73429 
MGI:98159,Rps6,ribosomal protein S6,4,,G1/S transition of mitotic cell cycle,,,IMP,MGI:2176073 MGI:2387471 ,J:62795 
MGI:98159,Rps6,ribosomal protein S6,4,,mitotic cell cycle,,,IMP,MGI:2387471 ,J:117590 
MGI:98159,Rps6,ribosomal protein S6,4,,mitotic cell cycle checkpoint signaling,,,IMP,MGI:2387471 ,J:103921 
MGI:1270849,Rps6kb1,"ribosomal protein S6 kinase, polypeptide 1",11,,G1/S transition of mitotic cell cycle,,,ISO,P23443 ,J:164563 
MGI:1270849,Rps6kb1,"ribosomal protein S6 kinase, polypeptide 1",11,,positive regulation of mitotic cell cycle,,,ISO,P23443 ,J:164563 
MGI:1915191,Rps27l,ribosomal protein S27-like,9,,mitotic G1 DNA damage checkpoint signaling,,,ISO,Q71UM5 ,J:164563 
MGI:1921620,Rptor,"regulatory associated protein of MTOR, complex 1",11,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q8N122 ,J:164563 
MGI:98180,Rrm1,ribonucleotide reductase M1,7,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,P23921 ,J:164563 
MGI:98180,Rrm1,ribonucleotide reductase M1,7,,positive regulation of G2/M transition of mitotic cell cycle,,,ISO,P23921 ,J:164563 
MGI:98181,Rrm2,ribonucleotide reductase M2,12,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,P31350 ,J:164563 
MGI:2155865,Rrm2b,ribonucleotide reductase M2 B (TP53 inducible),15,,positive regulation of G2/M transition of mitotic cell cycle,,,ISO,Q7LG56 ,J:164563 
MGI:1929721,Rrs1,ribosome biogenesis regulator 1,1,,mitotic metaphase chromosome alignment,,,ISO,Q15050 ,J:164563 
MGI:2139369,Rtel1,regulator of telomere elongation helicase 1,2,,mitotic telomere maintenance via semi-conservative replication,,,IDA,,J:202812 
MGI:1913654,Rtf2,replication termination factor 2,2,,mitotic DNA replication termination,,,IEA,IPR006735 ,J:72247 
MGI:107371,Rtkn,rhotekin,6,,mitotic cytokinesis,,,IBA,PTN001853010 ,J:265628 
MGI:1919330,Sapcd2,suppressor APC domain containing 2,2,,establishment of mitotic spindle orientation,,,IMP,,J:239972 
MGI:1920026,Sass6,SAS-6 centriolar assembly protein,3,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q6UVJ0 ,J:164563 
MGI:1920026,Sass6,SAS-6 centriolar assembly protein,3,,regulation of mitotic spindle organization,,,NAS,,J:320164 
MGI:1913961,Sbds,SBDS ribosome maturation factor,5,,mitotic spindle organization,,,ISO,Q9Y3A5 ,J:164563 
MGI:2145950,Scrib,scribbled planar cell polarity,15,,negative regulation of mitotic cell cycle,,,ISO,Q14160 ,J:164563 
MGI:1337026,Sdcbp,syndecan binding protein,4,,regulation of mitotic cell cycle,,,ISO,O00560 ,J:164563 
MGI:2384788,Sde2,SDE2 telomere maintenance homolog (S. pombe),1,,mitotic G1 DNA damage checkpoint signaling,,,ISO,Q6IQ49 ,J:164563 
MGI:1919374,Seh1l,SEH1-like (S. cerevisiae,18,,attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q96EE3 ,J:164563 
MGI:1919374,Seh1l,SEH1-like (S. cerevisiae,18,,mitotic metaphase chromosome alignment,,,ISO,Q96EE3 ,J:164563 
MGI:1923076,Senp2,SUMO/sentrin specific peptidase 2,16,,regulation of G1/S transition of mitotic cell cycle,,,IMP,MGI:3832730 ,J:144707 
MGI:1335094,Septin7,septin 7,9,,mitotic cytokinesis,happens in fibroblast,,IMP,MGI:5660259 ,J:223786 
MGI:1918177,Setd2,SET domain containing 2,9,,microtubule cytoskeleton organization involved in mitosis,,,ISO,Q9BYW2 ,J:164563 
MGI:2685139,Setdb2,"SET domain, bifurcated 2",14,,mitotic cell cycle,,,ISO,Q96T68 ,J:164563 
MGI:1921979,Setmar,SET domain without mariner transposase fusion,6,,mitotic DNA integrity checkpoint signaling,,,ISO,Q53H47 ,J:164563 
MGI:1201407,Sh2b1,SH2B adaptor protein 1,7,,positive regulation of mitotic nuclear division,,,IDA,,J:172913 
MGI:98294,Shb,src homology 2 domain-containing transforming protein B,4,,positive regulation of mitotic cell cycle,,,IMP,MGI:3721903 ,J:203580 
MGI:104754,Sik1,salt inducible kinase 1,17,,regulation of mitotic cell cycle,,,IDA,,J:90713 
MGI:107157,Sin3a,"transcriptional regulator, SIN3A (yeast)",9,,positive regulation of G2/M transition of mitotic cell cycle,,,IMP,MGI:3583656 ,J:99406 
MGI:2135607,Sirt1,sirtuin 1,10,,negative regulation of attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q96EB6 ,J:164563 
MGI:2135607,Sirt1,sirtuin 1,10,,regulation of mitotic cell cycle,,,ISO,Q96EB6 ,J:164563 
MGI:2385849,Sirt7,sirtuin 7,11,,positive regulation of transcription involved in exit from mitosis,,,ISO,Q9NRC8 ,J:164563 
MGI:1913718,Ska1,spindle and kinetochore associated complex subunit 1,18,,mitotic cell cycle,,,IBA,PTN002005085 ,J:265628 
MGI:1913718,Ska1,spindle and kinetochore associated complex subunit 1,18,,mitotic cell cycle,,,ISO,Q96BD8 ,J:164563 
MGI:1913390,Ska2,spindle and kinetochore associated complex subunit 2,11,,mitotic cell cycle,,,IBA,PTN002077923 ,J:265628 
MGI:1913390,Ska2,spindle and kinetochore associated complex subunit 2,11,,mitotic cell cycle,,,ISO,Q8WVK7 ,J:164563 
MGI:3041235,Ska3,spindle and kinetochore associated complex subunit 3,14,,mitotic cell cycle,,,IBA,PTN008296555 ,J:265628 
MGI:3041235,Ska3,spindle and kinetochore associated complex subunit 3,14,,mitotic cell cycle,,,ISO,Q8IX90 ,J:164563 
MGI:1351663,Skp2,S-phase kinase-associated protein 2,15,,G1/S transition of mitotic cell cycle,,,IDA,,J:62130 
MGI:1351663,Skp2,S-phase kinase-associated protein 2,15,,G2/M transition of mitotic cell cycle,,,IBA,PTN002700216 ,J:265628 
MGI:1351663,Skp2,S-phase kinase-associated protein 2,15,,G2/M transition of mitotic cell cycle,happens in fibroblast,,IGI,MGI:108061 ,J:142037 
MGI:1351663,Skp2,S-phase kinase-associated protein 2,15,,G2/M transition of mitotic cell cycle,happens in fibroblast,,IMP,,J:142037 
MGI:1313259,Slfn1,schlafen 1,11,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:51308 
MGI:1313259,Slfn1,schlafen 1,11,,negative regulation of G1/S transition of mitotic cell cycle,,,IGI,MGI:88313 ,J:101034 
MGI:1313259,Slfn1,schlafen 1,11,,negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter,,,IDA,,J:101034 
MGI:99603,Smarca2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",19,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:99603,Smarca2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",19,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:88192,Smarca4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",9,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:88192,Smarca4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",9,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:88192,Smarca4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",9,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1935129,Smarca5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",8,,negative regulation of mitotic chromosome condensation,,,ISO,O60264 ,J:164563 
MGI:1328366,Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",10,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1328366,Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",10,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1328366,Smarcb1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",10,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1203524,Smarcc1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1",9,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1203524,Smarcc1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1",9,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1203524,Smarcc1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1",9,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1915344,Smarcc2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2",10,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1915344,Smarcc2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2",10,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1915344,Smarcc2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2",10,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1933623,Smarcd1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",15,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1933623,Smarcd1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",15,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1933623,Smarcd1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",15,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1933621,Smarcd2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",11,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1933621,Smarcd2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",11,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1933621,Smarcd2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",11,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1914243,Smarcd3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",5,,positive regulation of G2/M transition of mitotic cell cycle,,,ISO,RGD:1311869 ,J:155856 
MGI:1914243,Smarcd3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",5,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1914243,Smarcd3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",5,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1927347,Smarce1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",11,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1927347,Smarce1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",11,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:1927347,Smarce1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",11,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1344345,Smc1a,structural maintenance of chromosomes 1A,X,,mitotic spindle assembly,,,ISO,Q14683 ,J:164563 
MGI:106067,Smc2,structural maintenance of chromosomes 2,4,,mitotic chromosome condensation,,,IBA,PTN000434684 ,J:265628 
MGI:106067,Smc2,structural maintenance of chromosomes 2,4,,mitotic chromosome condensation,,,ISO,O95347 ,J:164563 
MGI:1339795,Smc3,structural maintenance of chromosomes 3,19,,mitotic spindle assembly,,,ISO,Q9UQE7 ,J:164563 
MGI:1917349,Smc4,structural maintenance of chromosomes 4,3,,mitotic chromosome condensation,,,ISO,Q9NTJ3 ,J:164563 
MGI:2385088,Smc5,structural maintenance of chromosomes 5,19,,mitotic cell cycle phase transition,,,IMP,MGI:5882566 ,J:240155 
MGI:1929881,Smoc2,SPARC related modular calcium binding 2,17,,positive regulation of mitotic cell cycle,,,ISO,Q9H3U7 ,J:164563 
MGI:1927578,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",8,,mitotic nuclear division,,,IMP,MGI:1856877 ,J:158723 
MGI:1927578,Smpd3,"sphingomyelin phosphodiesterase 3, neutral",8,,positive regulation of mitotic nuclear division,,,IGI,MGI:1316649 ,J:202378 
MGI:3650059,Snhg15,small nucleolar RNA host gene 15,11,,attachment of mitotic spindle microtubules to kinetochore,"happens in skeletal muscle satellite cell,happens in cellular_component",,IMP,,J:291983 
MGI:3650059,Snhg15,small nucleolar RNA host gene 15,11,,mitotic spindle assembly,"happens in myoblast,happens in cellular_component",,IMP,,J:291983 
MGI:1913866,Snx9,sorting nexin 9,17,,mitotic cell cycle,,,IEA,IPR014536 ,J:72247 
MGI:1913866,Snx9,sorting nexin 9,17,,mitotic cytokinesis,,,ISO,Q9Y5X1 ,J:164563 
MGI:2137642,Snx18,sorting nexin 18,13,,mitotic cell cycle,,,IEA,IPR014536 ,J:72247 
MGI:2137642,Snx18,sorting nexin 18,13,,mitotic cytokinesis,,,ISO,Q96RF0 ,J:164563 
MGI:2443239,Snx33,sorting nexin 33,9,,mitotic cell cycle,,,IEA,IPR014536 ,J:72247 
MGI:2443239,Snx33,sorting nexin 33,9,,mitotic cytokinesis,,,ISO,Q8WV41 ,J:164563 
MGI:98353,Son,Son DNA binding protein,16,,mitotic cytokinesis,,,ISO,P18583 ,J:164563 
MGI:1927470,Spag5,sperm associated antigen 5,11,,mitotic sister chromatid segregation,,,ISO,Q96R06 ,J:164563 
MGI:1858896,Spast,spastin,17,,exit from mitosis,,,ISO,Q9UBP0 ,J:164563 
MGI:1858896,Spast,spastin,17,,mitotic cytokinesis,,,ISO,Q9UBP0 ,J:164563 
MGI:1858896,Spast,spastin,17,,mitotic spindle disassembly,,,ISO,Q9UBP0 ,J:164563 
MGI:1921967,Spata17,spermatogenesis associated 17,1,,mitotic cell cycle,,,IBA,PTN002732964 ,J:265628 
MGI:1914879,Spc24,"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)",9,,mitotic spindle assembly checkpoint signaling,,,NAS,,J:320157 
MGI:1913692,Spc25,"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)",2,,mitotic spindle assembly checkpoint signaling,,,NAS,,J:320157 
MGI:1913692,Spc25,"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)",2,,mitotic spindle organization,,,ISO,Q9HBM1 ,J:164563 
MGI:1917635,Spdl1,spindle apparatus coiled-coil protein 1,11,,establishment of mitotic spindle orientation,,,IBA,PTN001594003 ,J:265628 
MGI:1917635,Spdl1,spindle apparatus coiled-coil protein 1,11,,establishment of mitotic spindle orientation,,,ISO,Q96EA4 ,J:164563 
MGI:1917635,Spdl1,spindle apparatus coiled-coil protein 1,11,,mitotic metaphase chromosome alignment,,,IBA,PTN001594003 ,J:265628 
MGI:1917635,Spdl1,spindle apparatus coiled-coil protein 1,11,,mitotic metaphase chromosome alignment,,,ISO,Q96EA4 ,J:164563 
MGI:1917635,Spdl1,spindle apparatus coiled-coil protein 1,11,,mitotic spindle assembly checkpoint signaling,,,IEA,IPR028593 ,J:72247 
MGI:1918141,Spdya,"speedy/RINGO cell cycle regulator family, member A",17,,G1/S transition of mitotic cell cycle,,,IBA,PTN000774914 ,J:265628 
MGI:1918141,Spdya,"speedy/RINGO cell cycle regulator family, member A",17,,G1/S transition of mitotic cell cycle,,,ISO,Q5MJ70 ,J:164563 
MGI:1316649,Sphk1,sphingosine kinase 1,11,,positive regulation of mitotic cell cycle,,,ISO,Q9NYA1 ,J:164563 
MGI:1316649,Sphk1,sphingosine kinase 1,11,,positive regulation of mitotic nuclear division,,,IGI,MGI:1927578 ,J:202378 
MGI:1196252,Spice1,spindle and centriole associated protein 1,16,,mitotic spindle assembly,,,IBA,PTN001580569 ,J:265628 
MGI:1196252,Spice1,spindle and centriole associated protein 1,16,,mitotic spindle assembly,,,ISO,Q8N0Z3 ,J:164563 
MGI:1345139,Spry1,sprouty RTK signaling antagonist 1,3,,establishment of mitotic spindle orientation,"happens in right lung rudiment epithelium,happens in left lung rudiment epithelium",,IGI,MGI:1099809 ,J:174194 
MGI:1345139,Spry1,sprouty RTK signaling antagonist 1,3,,establishment of mitotic spindle orientation,"happens in left lung rudiment epithelium,happens in right lung rudiment epithelium",,IGI,MGI:1345138 ,J:174194 
MGI:1345138,Spry2,sprouty RTK signaling antagonist 2,14,,establishment of mitotic spindle orientation,"happens in left lung rudiment epithelium,happens in right lung rudiment epithelium",,IGI,MGI:1099809 ,J:174194 
MGI:1345138,Spry2,sprouty RTK signaling antagonist 2,14,,establishment of mitotic spindle orientation,"happens in left lung rudiment epithelium,happens in right lung rudiment epithelium",,IGI,MGI:1345139 ,J:174194 
MGI:98388,Sptbn1,"spectrin beta, non-erythrocytic 1",11,,mitotic cytokinesis,,,ISO,Q01082 ,J:164563 
MGI:1344414,Sra1,steroid receptor RNA activator 1,18,,regulation of mitotic cell cycle,,,ISO,Q9HD15 ,J:164563 
MGI:1098658,Stag1,STAG1 cohesin complex component,9,,mitotic spindle assembly,,,ISO,Q8WVM7 ,J:164563 
MGI:1098583,Stag2,STAG2 cohesin complex component,X,,mitotic spindle assembly,,,ISO,Q8N3U4 ,J:164563 
MGI:1917777,Stambp,STAM binding protein,6,,mitotic cytokinesis,,,ISO,O95630 ,J:73065 
MGI:103036,Stat5a,signal transducer and activator of transcription 5A,11,,mitotic cell cycle,happens in T cell,,IGI,MGI:103035 ,J:53400 
MGI:103036,Stat5a,signal transducer and activator of transcription 5A,11,,positive regulation of mitotic cell cycle,positively regulates mitotic cell cycle,,IGI,MGI:103035 ,J:53400 
MGI:103035,Stat5b,signal transducer and activator of transcription 5B,11,,mitotic cell cycle,happens in T cell,,IGI,MGI:103036 ,J:53400 
MGI:103035,Stat5b,signal transducer and activator of transcription 5B,11,,positive regulation of mitotic cell cycle,positively regulates mitotic cell cycle,,IGI,MGI:103036 ,J:53400 
MGI:107477,Stil,Scl/Tal1 interrupting locus,4,,mitotic spindle checkpoint signaling,,,IMP,,J:100018 
MGI:107477,Stil,Scl/Tal1 interrupting locus,4,,mitotic spindle organization,,,IBA,PTN001031679 ,J:265628 
MGI:107477,Stil,Scl/Tal1 interrupting locus,4,,mitotic spindle organization,,,ISO,Q15468 ,J:197278 
MGI:107477,Stil,Scl/Tal1 interrupting locus,4,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q15468 ,J:164563 
MGI:107477,Stil,Scl/Tal1 interrupting locus,4,,regulation of mitotic spindle organization,,,NAS,,J:320164 
MGI:2152419,Stk33,serine/threonine kinase 33,7,,mitotic DNA damage checkpoint signaling,,,IBA,PTN005196447 ,J:265628 
MGI:96739,Stmn1,stathmin 1,4,,mitotic cytokinesis,happens in hematopoietic cell,,IGI,MGI:1335094 ,J:223786 
MGI:96739,Stmn1,stathmin 1,4,,mitotic cytokinesis,,,ISO,P16949 ,J:164563 
MGI:96739,Stmn1,stathmin 1,4,,mitotic spindle organization,,,ISO,P16949 ,J:73065 
MGI:2684909,Stox1,storkhead box 1,10,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q6ZVD7 ,J:164563 
MGI:2684909,Stox1,storkhead box 1,10,,positive regulation of G2/M transition of mitotic cell cycle,,,ISO,Q6ZVD7 ,J:164563 
MGI:2684909,Stox1,storkhead box 1,10,,regulation of mitotic cell cycle,happens in auditory epithelial cell,,IMP,,J:220542 
MGI:108059,Stx2,syntaxin 2,5,,midbody abscission,,,ISO,RGD:2558 ,J:155856 
MGI:108059,Stx2,syntaxin 2,5,,mitotic cytokinesis,,,ISO,RGD:2558 ,J:155856 
MGI:109542,Sycp3,synaptonemal complex protein 3,10,,mitotic cell cycle,,,IDA,,J:62204 
MGI:1915842,Syf2,"SYF2 homolog, RNA splicing factor (S. cerevisiae)",4,,mitotic G2 DNA damage checkpoint signaling,,,IMP,MGI:3904866 ,J:187030 
MGI:2443510,Tacc1,"transforming, acidic coiled-coil containing protein 1",8,,mitotic spindle organization,,,IEA,IPR039915 ,J:72247 
MGI:1928899,Tacc2,"transforming, acidic coiled-coil containing protein 2",7,,mitotic spindle organization,,,IEA,IPR039915 ,J:72247 
MGI:1341163,Tacc3,"transforming, acidic coiled-coil containing protein 3",5,,metaphase/anaphase transition of mitotic cell cycle,,,ISO,Q9Y6A5 ,J:164563 
MGI:1341163,Tacc3,"transforming, acidic coiled-coil containing protein 3",5,,microtubule cytoskeleton organization involved in mitosis,,,ISO,Q9Y6A5 ,J:164563 
MGI:1341163,Tacc3,"transforming, acidic coiled-coil containing protein 3",5,,mitotic spindle organization,,,IEA,IPR039915 ,J:72247 
MGI:1341163,Tacc3,"transforming, acidic coiled-coil containing protein 3",5,,regulation of mitotic spindle organization,,,ISO,Q9Y6A5 ,J:164563 
MGI:2144471,Tada2a,transcriptional adaptor 2A,11,,mitotic cell cycle,,,IMP,,J:162081 
MGI:1915724,Tada3,transcriptional adaptor 3,6,,mitotic cell cycle,,,IMP,,J:162081 
MGI:2443028,Taf2,TATA-box binding protein associated factor 2,15,,G2/M transition of mitotic cell cycle,,,ISO,Q6P1X5 ,J:164563 
MGI:1346320,Taf10,TATA-box binding protein associated factor 10,7,,G1/S transition of mitotic cell cycle,,,IMP,,J:57447 
MGI:98480,Tal1,T cell acute lymphocytic leukemia 1,4,,positive regulation of mitotic cell cycle,,,ISO,P17542 ,J:164563 
MGI:1914490,Taok1,TAO kinase 1,11,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q7L7X3 ,J:164563 
MGI:1915919,Taok2,TAO kinase 2,7,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q9UL54 ,J:164563 
MGI:3041177,Taok3,TAO kinase 3,5,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q9H2K8 ,J:164563 
MGI:1919686,Tbcd,tubulin-specific chaperone d,11,,mitotic cell cycle,,,ISO,Q9BTW9 ,J:164563 
MGI:1917680,Tbce,tubulin-specific chaperone E,13,,mitotic spindle organization,,,ISO,Q15813 ,J:164563 
MGI:98510,Tcf3,transcription factor 3,10,,regulation of G1/S transition of mitotic cell cycle,,,ISO,P15923 ,J:164563 
MGI:103180,Tcf19,transcription factor 19,17,,G1/S transition of mitotic cell cycle,happens in type B pancreatic cell,,IMP,,J:203187 
MGI:1202709,Tert,telomerase reverse transcriptase,13,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:70494 ,J:155856 
MGI:1933227,Tex14,testis expressed gene 14,11,,mitotic sister chromatid separation,,,IBA,PTN001128618 ,J:265628 
MGI:1933227,Tex14,testis expressed gene 14,11,,mitotic sister chromatid separation,,,IMP,,J:183245 
MGI:1933227,Tex14,testis expressed gene 14,11,,mitotic spindle assembly checkpoint signaling,,,IBA,PTN001128618 ,J:265628 
MGI:1933227,Tex14,testis expressed gene 14,11,,mitotic spindle assembly checkpoint signaling,,,IMP,,J:183245 
MGI:103239,Tfap4,transcription factor AP4,16,,regulation of mitotic cell cycle phase transition,,,ISO,Q01664 ,J:164563 
MGI:98724,Tgfa,transforming growth factor alpha,6,,positive regulation of mitotic nuclear division,,,IBA,PTN001643577 ,J:265628 
MGI:98724,Tgfa,transforming growth factor alpha,6,,positive regulation of mitotic nuclear division,,,ISO,P01135 ,J:164563 
MGI:98725,Tgfb1,"transforming growth factor, beta 1",7,,positive regulation of exit from mitosis,,,ISO,RGD:69051 ,J:155856 
MGI:1921004,Thap1,"THAP domain containing, apoptosis associated protein 1",8,,regulation of mitotic cell cycle,,,ISO,Q9NVV9 ,J:164563 
MGI:1924261,Ticrr,TOPBP1-interacting checkpoint and replication regulator,7,,mitotic DNA replication checkpoint signaling,,,IBA,PTN001470787 ,J:265628 
MGI:1924261,Ticrr,TOPBP1-interacting checkpoint and replication regulator,7,,mitotic G2 DNA damage checkpoint signaling,,,IBA,PTN001470787 ,J:265628 
MGI:98753,Timp2,tissue inhibitor of metalloproteinase 2,11,,negative regulation of mitotic cell cycle,,,ISO,RGD:61312 ,J:155856 
MGI:1921571,Tipin,timeless interacting protein,9,,mitotic intra-S DNA damage checkpoint signaling,,,ISO,Q9BVW5 ,J:164563 
MGI:1351650,Tjp3,tight junction protein 3,10,,regulation of G1/S transition of mitotic cell cycle,regulates G1/S transition of mitotic cell cycle,,IGI,MGI:88313 ,J:182969 
